Grupo;Família;Espécie (FB_2020);Nome popular;Origem;Endemismo;Especie;Categoria;Critério;Data avaliação;Reavaliação?;Histórico de Avaliações;Endêmica do Brasil?;Ameaças cadastradas;Ações de conservação
Angiospermas;Asteraceae;Lychnophorella blanchetii (Sch.Bip.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora blanchetii;DD;;2013;;;Sim;1.1 Agriculture;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophorella leucodendron (Mattf.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Eremanthus leucodendron;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1 Habitat Loss/Degradation (human induced)|1.7 Fire|1.3.3 Wood;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophorella regis (H.Rob.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora regis;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.3.3.1 Small-scale subsistence|1.3.1 Mining|1.4.2 Human settlement|1.4.3 Tourism/recreation|1.7 Fire|1.1.1.1 Shifting Agriculture;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophorella santosii (H.Rob.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora santosii;EN;B1ab(i,ii,iii)+2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;5.3 Logging & wood harvesting|2.3 Livestock farming & ranching;5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophorella sericea (D.J.N.Hind) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora sericea;CR;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.3.3.1 Small-scale subsistence|1.3.1 Mining|1.4.2 Human settlement|1.4.3 Tourism/recreation|1.1.1.1 Shifting Agriculture|1.7 Fire;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Macropodina bradei R.M.King & H.Rob.;;NATIVA;Endemica;Macropodina bradei;EN;B1ab(i,ii,iii,v)+2ab(i,ii,iii,v);2018;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;1.1 Housing & urban areas|7.1.1 Increase in fire frequency/intensity|1.3 Tourism & recreation areas;1.1 Site/area protection
Angiospermas;Asteraceae;Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;;NATIVA;Endemica;Maschalostachys markgrafii;EN;B2ab(iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;7 Natural system modifications|2.1 Annual & perennial non-timber crops|2.3 Livestock farming & ranching|8 Invasive & other problematic species, genes & diseases|1.3 Tourism & recreation areas|2.2 Wood & pulp plantations;1.1 Site/area protection|5.1.2 National level|5 Law & policy
Angiospermas;Asteraceae;Maschalostachys mellosilvae Loeuille & Roque;;NATIVA;Endemica;Maschalostachys mellosilvae;EN;B1ab(i,ii,iii)+2ab(i,ii,iii);2020;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;2.1.3 Agro-industry farming|2.3.4 Scale Unknown/Unrecorded;1.1 Site/area protection|4.3 Awareness & communications|5.1.2 National level
Angiospermas;Asteraceae;Mattfeldanthus andrade-limae (G.M.Barroso) Dematt.;;NATIVA;Endemica;Mattfeldanthus andrade-limae;LC;;2020;Não se aplica;Inéditas não ameaçadas (NT, DD, LC);Sim;2.1.3 Agro-industry farming|2.3.4 Scale Unknown/Unrecorded|3.2 Mining & quarrying;5.1.2 National level|1.1 Site/area protection
Angiospermas;Asteraceae;Melanthera latifolia (Gardner) Cabrera;;NATIVA;Não endemica;Melanthera latifolia;LC;;2013;;;Não;1 Habitat Loss/Degradation (human induced);1.2.2.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Mikania additicia B.L.Rob.;;NATIVA;Endemica;Mikania additicia;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Mikania alexandreae G.M.Barroso;;NATIVA;Endemica;Mikania alexandreae;DD;;2018;Não se aplica;Inéditas não ameaçadas (NT, DD, LC);Sim;8.1.2 Named species|1.1 Housing & urban areas;1 Land/water protection
Angiospermas;Asteraceae;Mikania alvimii R.M.King & H.Rob.;;NATIVA;Endemica;Mikania alvimii;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1 Habitat Loss/Degradation (human induced)|1.1.4 Livestock|1.7 Fire;1.2.1.2 National level
Angiospermas;Asteraceae;Mikania anethifolia (DC.) Matzenb.;;NATIVA;Não endemica;Mikania anethifolia;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1 Habitat Loss/Degradation (human induced)|1.1.4 Livestock|1.5 Invasive alien species (directly impacting habitat)|1.1 Agriculture;1.2.1.3 Sub-national level|1.2.1.2 National level
Angiospermas;Asteraceae;Mikania argyreiae DC.;;NATIVA;Endemica;Mikania argyreiae;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1 Habitat Loss/Degradation (human induced);1.2.1.3 Sub-national level|4.4.2 Establishment
Angiospermas;Asteraceae;Mikania biformis DC.;;NATIVA;Endemica;Mikania biformis;NT;;2013;;;Sim;1 Habitat Loss/Degradation (human induced);1.2.2 Implementation|4.4.2 Establishment
